danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.876,0.543,-8.659,0.323,0.0468,0,0.119,0.44,140.0,136622,39
0.628,0.621,-9.585,0.356,0.00629,0,0.113,0.528,130.016,177377,60
0.699,0.421,-11.44,0.474,0.868,0.0563,0.36,0.654,56.887,40281,13
0.838,0.548,-9.558,0.0615,0.0701,4.41e-06,0.153,0.187,113.995,193228,14
0.846,0.708,-8.863,0.171,0.0253,0,0.218,0.551,114.22,219350,14
0.746,0.495,-8.406,0.0816,0.000887,0.000359,0.151,0.112,112.424,239621,12
0.731,0.609,-10.244,0.268,0.327,0,0.182,0.609,109.822,289019,13
0.74,0.633,-8.161,0.174,0.00148,6.11e-05,0.715,0.361,130.757,301087,14
0.618,0.681,-8.814,0.306,0.0879,0,0.139,0.611,169.083,248398,15
0.676,0.689,-8.797,0.314,0.019,0,0.172,0.334,167.165,215536,11
0.923,0.751,-9.496,0.259,0.015,0,0.0468,0.687,130.95,174462,27
0.691,0.652,-9.434,0.126,0.000626,0.0119,0.723,0.459,78.015,237105,33
0.731,0.591,-11.453,0.269,0.00233,0,0.131,0.415,189.147,189500,34
0.883,0.496,-10.459,0.161,0.1,3.81e-05,0.0816,0.481,140.536,168006,30
0.844,0.663,-8.855,0.182,0.113,0,0.109,0.601,102.479,206176,37
0.803,0.601,-10.325,0.217,0.324,0,0.216,0.819,124.06,240000,32
0.828,0.413,-11.977,0.472,0.00199,0.000183,0.11,0.364,127.038,220157,30
0.844,0.722,-5.178,0.264,0.011,0,0.105,0.67,146.976,173061,65
0.843,0.709,-5.165,0.251,0.0103,0,0.106,0.655,146.951,173061,44
0.807,0.799,-5.918,0.0347,0.226,0,0.429,0.825,126.042,143000,62
0.635,0.947,-3.505,0.0427,0.000919,0.00027,0.2,0.126,125.993,180952,39
0.826,0.748,-6.583,0.0395,0.00825,1.87e-05,0.0791,0.897,125.999,194286,33
0.73,0.934,-3.951,0.0572,0.000256,0.00573,0.0442,0.169,125.994,236190,30
0.787,0.522,-5.872,0.463,0.0668,0,0.108,0.666,170.439,163765,68
0.896,0.516,-5.969,0.342,0.0587,0,0.109,0.646,85.02,163765,34
0.814,0.628,-7.178,0.221,0.167,0,0.101,0.677,123.977,201334,77
